timestep,a_x,a_y,a_z,a_mag,g_x,g_y,g_z,g_mag
0,-3802,574,7110,8083.116973049445,86,9,-15,87.76103919165952
1,-3812,568,7176,8145.486111951821,117,34,-3,121.87698716328691
2,-3892,488,7150,8155.26259540427,177,63,15,188.47546259394085
3,-3942,544,7376,8380.971065455364,261,134,67,300.9418548490721
4,-4278,546,7300,8478.761702041165,378,239,104,459.1524801196221
5,-4252,418,7020,8217.945485338778,441,207,127,503.44711738175636
6,-3626,728,7076,7984.211670540804,455,92,163,491.9939024012391
7,-3718,894,7242,8189.586314338471,388,91,137,421.41903136901635
8,-4024,926,7148,8254.935251108878,321,136,129,371.7230151604821
9,-3976,988,7288,8360.601892208479,271,65,95,294.4333540888328
10,-4304,756,7208,8429.188335777057,245,68,78,265.9567634033773
11,-4032,928,6866,8016.2437587688155,329,-52,83,343.2695733676377
12,-3384,962,7104,7927.402853394042,237,-140,3,275.2780412601049
13,-3218,908,7248,7982.073164285078,106,-47,-80,140.87228258248675
14,-3236,1182,7080,7873.704337857754,-143,135,-231,303.37270806715617
15,-2762,1268,7122,7743.342430759471,-233,293,-340,505.7054478646636
16,-2668,1456,7192,7807.882171242084,-396,582,-619,937.3905269416797
17,-3124,540,7732,8356.721845317097,-523,784,-967,1350.286636236914
18,-4,764,8082,8118.031534799555,-459,1530,-1583,2248.8819444337223
19,-906,1864,10238,10445.667810149813,-476,1708,-1861,2570.4398456295376
20,856,3934,13048,13655.013584760727,-427,989,-1534,1874.4615226779126
21,1688,4568,15302,16058.243116854346,13,663,-1035,1229.2123494335713
22,1812,4694,13380,14294.802551976714,3,-23,-358,358.7506097555794
23,2798,3498,12182,12979.44266908252,-108,-485,-102,507.24057408689225
24,3288,2504,11202,11940.090619421611,121,-897,219,931.2416442578156
25,2938,1834,10654,11202.817324226973,351,-1083,303,1178.0912528323092
26,2676,1762,10700,11169.405534763251,551,-1370,258,1499.021347413038
27,2432,1798,10826,11240.538421267907,568,-1584,187,1693.1181293695959
28,2178,1890,10470,10859.865745026502,486,-1820,95,1886.1656873138159
29,1936,1866,9986,10341.675299486056,509,-1906,84,1974.5817278603588
30,1408,2364,9426,9819.390816135185,546,-1901,145,1983.1646426860282
31,1042,2554,9656,10042.261498288122,568,-1870,224,1967.1553065276773
32,-326,2754,10242,10610.813163938004,781,-1956,464,2156.662467796016
33,-1082,3172,10602,11119.11471296164,957,-2207,725,2512.4336807167665
34,-968,3646,10366,11031.060511120406,1034,-2512,1110,2934.5186998893023
35,-794,3700,9298,10038.587550049058,930,-2589,1310,3046.9527400338848
36,-860,3420,9088,9748.217478082852,837,-2581,1628,3164.255678670736
37,-1526,3446,9512,10231.40928709237,837,-2616,1893,3335.786863694981
38,-1860,3514,9918,10685.247774385021,760,-2804,2230,3662.3648097916193
39,-1646,3150,9650,10283.691749561536,633,-2901,2411,3824.8413038974572
40,-1250,2846,9236,9745.045510411945,426,-2917,2621,3944.617345193321
41,-870,2612,8770,9191.971714490855,237,-2841,2714,3936.1460846874074
42,-796,2336,8620,8966.32098466255,-48,-2645,2764,3825.9671979775258
43,-994,1898,8870,9125.093972118862,-104,-2513,2782,3750.40117854077
44,-1492,1612,9332,9587.013716481271,-53,-2411,2802,3696.881658912008
45,-1556,1582,9452,9708.973375182362,13,-2431,2802,3709.600248005168
46,-1358,1510,9348,9566.052895525927,-24,-2454,2700,3648.6561909831953
47,-1422,1340,9170,9375.851108032806,-65,-2461,2604,3583.512522651484
48,-1690,1118,9070,9293.595859515304,-52,-2500,2449,3500.043571157365
49,-2260,950,9356,9671.85793940337,21,-2588,2316,3473.0449176479133
50,-2430,922,9184,9544.676002882445,105,-2847,2118,3549.9799999436623
51,-1946,926,8410,8681.733237090391,125,-2990,1989,3593.30572036391
52,-1394,954,7674,7857.7113716399635,113,-2997,1759,3476.903651239131
53,-1598,1096,7530,7775.327645829467,61,-2923,1589,3327.547294930607
54,-1882,1114,7372,7689.558114742354,20,-2877,1371,3187.0315342023214
55,-1978,1114,7218,7566.571482514389,11,-2865,1207,3108.889673179156
56,-1872,1050,6904,7229.944674753741,78,-2820,1026,3001.859423757215
57,-2270,802,6972,7375.966919665517,214,-2795,941,2956.9075061624767
58,-2362,934,7158,7595.285643081503,414,-2846,798,2984.613207770816
59,-2602,904,7304,7806.153726387919,456,-2937,684,3049.8788500529
60,-3240,526,7606,8284.051665700788,599,-3228,546,3328.197860704799
61,-3338,-248,6636,7432.378085108427,752,-3534,479,3644.736067261936
62,-2862,-410,5562,6268.571448105222,879,-3688,388,3811.106007447182
63,-3462,-582,4724,5885.6048117419505,1045,-3638,127,3787.2414763254797
64,-3850,-418,4372,5840.514360910347,1024,-3536,-134,3683.724745417334
65,-4554,-136,3476,5730.6184657504455,853,-3306,-521,3453.792987427011
66,-4990,24,2368,5523.4137994541015,691,-2907,-833,3101.937942641664
67,-5900,286,1382,6066.442120386545,620,-2541,-973,2790.66479534895
68,-6726,652,1046,6838.003802280313,484,-2042,-938,2298.665699922457
69,-7068,1374,-338,7208.241394404046,259,-1583,-845,1813.0071704215625
70,-7338,1440,-932,7535.8123649676945,-34,-947,-770,1221.0098279702747
71,-8326,1234,-1476,8545.385187339421,-377,206,-562,707.3959287414651
72,-9426,1486,-1282,9628.146031298029,-621,1275,-167,1427.9898459022738
73,-10966,1844,-1272,11192.47407859406,-892,1983,142,2179.017439122505
74,-11664,1646,-716,11801.307893619249,-1288,2992,596,3311.5289520099323
75,-12752,1166,68,12805.377151806191,-1517,3566,822,3961.480657531979
